"row.names.df_params."	"ModePrior_1"	"MAP_1"	"MaxL_1"	"MeanPost_1"	"VarPost_1"	"CVPost_1"	"MinPost_1"	"MaxPost_1"	"ModePrior_2"	"MAP_2"	"MaxL_2"	"MeanPost_2"	"VarPost_2"	"CVPost_2"	"MinPost_2"	"MaxPost_2"	"ModePrior_3"	"MAP_3"	"MaxL_3"	"MeanPost_3"	"VarPost_3"	"CVPost_3"	"MinPost_3"	"MaxPost_3"	"ModePrior_4"	"MAP_4"	"MaxL_4"	"MeanPost_4"	"VarPost_4"	"CVPost_4"	"MinPost_4"	"MaxPost_4"	"ModePrior_5"	"MAP_5"	"MaxL_5"	"MeanPost_5"	"VarPost_5"	"CVPost_5"	"MinPost_5"	"MaxPost_5"	"ModePrior_6"	"MAP_6"	"MaxL_6"	"MeanPost_6"	"VarPost_6"	"CVPost_6"	"MinPost_6"	"MaxPost_6"
"KSNOW"	0.03871	0.03871	0.03871	0.03871	0	0	0.03871	0.03871	0.03871	0.03871	0.03871	0.03871	0	0	0.03871	0.03871	0.03871	0.03871	0.03871	0.03871	0	0	0.03871	0.03871	0.03871	0.03871	0.03871	0.03871	0	0	0.03871	0.03871	0.03871	0.03871	0.03871	0.03871	0	0	0.03871	0.03871	0.03871	0.03871	0.03871	0.03871	0	0	0.03871	0.03871
"LAMBDAsoil"	199000	199000	199000	199000	0	0	199000	199000	199000	199000	199000	199000	0	0	199000	199000	199000	199000	199000	199000	0	0	199000	199000	199000	199000	199000	199000	0	0	199000	199000	199000	199000	199000	199000	0	0	199000	199000	199000	199000	199000	199000	0	0	199000	199000
"LDT50A"	1.555	1.555	1.555	1.555	0	0	1.555	1.555	1.555	1.555	1.555	1.555	0	0	1.555	1.555	1.555	1.555	1.555	1.555	0	0	1.555	1.555	1.555	1.555	1.555	1.555	0	0	1.555	1.555	1.555	1.555	1.555	1.555	0	0	1.555	1.555	1.555	1.555	1.555	1.555	0	0	1.555	1.555
"LDT50B"	-2.172	-2.172	-2.172	-2.172	0	0	-2.172	-2.172	-2.172	-2.172	-2.172	-2.172	0	0	-2.172	-2.172	-2.172	-2.172	-2.172	-2.172	0	0	-2.172	-2.172	-2.172	-2.172	-2.172	-2.172	0	0	-2.172	-2.172	-2.172	-2.172	-2.172	-2.172	0	0	-2.172	-2.172	-2.172	-2.172	-2.172	-2.172	0	0	-2.172	-2.172
"LT50MN"	-25.47	-25.47	-25.47	-25.47	0	0	-25.47	-25.47	-25.47	-25.47	-25.47	-25.47	0	0	-25.47	-25.47	-25.47	-25.47	-25.47	-25.47	0	0	-25.47	-25.47	-25.47	-25.47	-25.47	-25.47	0	0	-25.47	-25.47	-25.47	-25.47	-25.47	-25.47	0	0	-25.47	-25.47	-25.47	-25.47	-25.47	-25.47	0	0	-25.47	-25.47
"LT50MX"	-4.544	-4.544	-4.544	-4.544	0	0	-4.544	-4.544	-4.544	-4.544	-4.544	-4.544	0	0	-4.544	-4.544	-4.544	-4.544	-4.544	-4.544	0	0	-4.544	-4.544	-4.544	-4.544	-4.544	-4.544	0	0	-4.544	-4.544	-4.544	-4.544	-4.544	-4.544	0	0	-4.544	-4.544	-4.544	-4.544	-4.544	-4.544	0	0	-4.544	-4.544
"RATEDMX"	1.81	1.81	1.81	1.81	0	0	1.81	1.81	1.81	1.81	1.81	1.81	0	0	1.81	1.81	1.81	1.81	1.81	1.81	0	0	1.81	1.81	1.81	1.81	1.81	1.81	0	0	1.81	1.81	1.81	1.81	1.81	1.81	0	0	1.81	1.81	1.81	1.81	1.81	1.81	0	0	1.81	1.81
"reHardRedDay"	133.7	133.7	133.7	133.7	0	0	133.7	133.7	133.7	133.7	133.7	133.7	0	0	133.7	133.7	133.7	133.7	133.7	133.7	0	0	133.7	133.7	133.7	133.7	133.7	133.7	0	0	133.7	133.7	133.7	133.7	133.7	133.7	0	0	133.7	133.7	133.7	133.7	133.7	133.7	0	0	133.7	133.7
"RHOnewSnow"	85.86	85.86	85.86	85.86	0	0	85.86	85.86	85.86	85.86	85.86	85.86	0	0	85.86	85.86	85.86	85.86	85.86	85.86	0	0	85.86	85.86	85.86	85.86	85.86	85.86	0	0	85.86	85.86	85.86	85.86	85.86	85.86	0	0	85.86	85.86	85.86	85.86	85.86	85.86	0	0	85.86	85.86
"RHOpack"	0.02187	0.02187	0.02187	0.02187	0	0	0.02187	0.02187	0.02187	0.02187	0.02187	0.02187	0	0	0.02187	0.02187	0.02187	0.02187	0.02187	0.02187	0	0	0.02187	0.02187	0.02187	0.02187	0.02187	0.02187	0	0	0.02187	0.02187	0.02187	0.02187	0.02187	0.02187	0	0	0.02187	0.02187	0.02187	0.02187	0.02187	0.02187	0	0	0.02187	0.02187
"SWret"	0.08415	0.08415	0.08415	0.08415	0	0	0.08415	0.08415	0.08415	0.08415	0.08415	0.08415	0	0	0.08415	0.08415	0.08415	0.08415	0.08415	0.08415	0	0	0.08415	0.08415	0.08415	0.08415	0.08415	0.08415	0	0	0.08415	0.08415	0.08415	0.08415	0.08415	0.08415	0	0	0.08415	0.08415	0.08415	0.08415	0.08415	0.08415	0	0	0.08415	0.08415
"SWrf"	0.0104	0.0104	0.0104	0.0104	0	0	0.0104	0.0104	0.0104	0.0104	0.0104	0.0104	0	0	0.0104	0.0104	0.0104	0.0104	0.0104	0.0104	0	0	0.0104	0.0104	0.0104	0.0104	0.0104	0.0104	0	0	0.0104	0.0104	0.0104	0.0104	0.0104	0.0104	0	0	0.0104	0.0104	0.0104	0.0104	0.0104	0.0104	0	0	0.0104	0.0104
"THARDMX"	14.71	14.78	14.67	14.67	0.04612	0.01464	13.82	15	14.71	14.78	14.67	14.67	0.04612	0.01464	13.82	15	14.71	14.78	14.67	14.67	0.04612	0.01464	13.82	15	14.71	14.78	14.67	14.67	0.04612	0.01464	13.82	15	14.71	14.78	14.67	14.67	0.04612	0.01464	13.82	15	14.71	14.78	14.67	14.67	0.04612	0.01464	13.82	15
"TmeltFreeze"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TrainSnow"	0.01062	0.01062	0.01062	0.01062	0	0	0.01062	0.01062	0.01062	0.01062	0.01062	0.01062	0	0	0.01062	0.01062	0.01062	0.01062	0.01062	0.01062	0	0	0.01062	0.01062	0.01062	0.01062	0.01062	0.01062	0	0	0.01062	0.01062	0.01062	0.01062	0.01062	0.01062	0	0	0.01062	0.01062	0.01062	0.01062	0.01062	0.01062	0	0	0.01062	0.01062
"TsurfDiff"	3.353	3.353	3.353	3.353	0	0	3.353	3.353	3.353	3.353	3.353	3.353	0	0	3.353	3.353	3.353	3.353	3.353	3.353	0	0	3.353	3.353	3.353	3.353	3.353	3.353	0	0	3.353	3.353	3.353	3.353	3.353	3.353	0	0	3.353	3.353	3.353	3.353	3.353	3.353	0	0	3.353	3.353
"KLUETILG"	0.5	0.5643	0.5317	0.5124	0.003342	0.1128	0.4009	0.6529	0.5	0.5643	0.5317	0.5124	0.003342	0.1128	0.4009	0.6529	0.5	0.5643	0.5317	0.5124	0.003342	0.1128	0.4009	0.6529	0.5	0.5643	0.5317	0.5124	0.003342	0.1128	0.4009	0.6529	0.5	0.5643	0.5317	0.5124	0.003342	0.1128	0.4009	0.6529	0.5	0.5643	0.5317	0.5124	0.003342	0.1128	0.4009	0.6529
"FRTILGG1I"	0.1	0.1585	0.138	0.15	0.002406	0.3269	0.0196	0.2724	0.1	0.1585	0.138	0.15	0.002406	0.3269	0.0196	0.2724	0.1	0.1585	0.138	0.15	0.002406	0.3269	0.0196	0.2724	0.1	0.1585	0.138	0.15	0.002406	0.3269	0.0196	0.2724	0.1	0.1585	0.138	0.15	0.002406	0.3269	0.0196	0.2724	0.1	0.1585	0.138	0.15	0.002406	0.3269	0.0196	0.2724
"DAYLG1G2"	0.6	0.5927	0.5224	0.5733	0.002161	0.08108	0.484	0.6864	0.6	0.5927	0.5224	0.5733	0.002161	0.08108	0.484	0.6864	0.6	0.5927	0.5224	0.5733	0.002161	0.08108	0.484	0.6864	0.6	0.5927	0.5224	0.5733	0.002161	0.08108	0.484	0.6864	0.6	0.5927	0.5224	0.5733	0.002161	0.08108	0.484	0.6864	0.6	0.5927	0.5224	0.5733	0.002161	0.08108	0.484	0.6864
"RGRTG1G2"	0.9	0.912	0.8865	0.89	0.002189	0.05257	0.788	0.9965	0.9	0.912	0.8865	0.89	0.002189	0.05257	0.788	0.9965	0.9	0.912	0.8865	0.89	0.002189	0.05257	0.788	0.9965	0.9	0.912	0.8865	0.89	0.002189	0.05257	0.788	0.9965	0.9	0.912	0.8865	0.89	0.002189	0.05257	0.788	0.9965	0.9	0.912	0.8865	0.89	0.002189	0.05257	0.788	0.9965
"RDRTMIN"	0.01	0.007721	0.008779	0.009138	2.642e-06	0.1779	0.005433	0.0122	0.01	0.007721	0.008779	0.009138	2.642e-06	0.1779	0.005433	0.0122	0.01	0.007721	0.008779	0.009138	2.642e-06	0.1779	0.005433	0.0122	0.01	0.007721	0.008779	0.009138	2.642e-06	0.1779	0.005433	0.0122	0.01	0.007721	0.008779	0.009138	2.642e-06	0.1779	0.005433	0.0122	0.01	0.007721	0.008779	0.009138	2.642e-06	0.1779	0.005433	0.0122
"TVERN"	20	20	20	20	0	0	20	20	20	20	20	20	0	0	20	20	20	20	20	20	0	0	20	20	20	20	20	20	0	0	20	20	20	20	20	20	0	0	20	20	20	20	20	20	0	0	20	20
"CLITT0"	300	300	300	300	0	0	300	300	300	300	300	300	0	0	300	300	300	300	300	300	0	0	300	300	300	300	300	300	0	0	300	300	300	300	300	300	0	0	300	300	300	300	300	300	0	0	300	300
"CSOM0"	10000	6676	7350	7694	1155000	0.1397	5594	10260	10000	6676	7350	7694	1155000	0.1397	5594	10260	10000	6676	7350	7694	1155000	0.1397	5594	10260	10000	6676	7350	7694	1155000	0.1397	5594	10260	10000	6676	7350	7694	1155000	0.1397	5594	10260	10000	6676	7350	7694	1155000	0.1397	5594	10260
"CNLITT0"	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50
"CNSOMF0"	25	25.64	27.51	26.6	0.8943	0.03555	24.07	28.51	25	25.64	27.51	26.6	0.8943	0.03555	24.07	28.51	25	25.64	27.51	26.6	0.8943	0.03555	24.07	28.51	25	25.64	27.51	26.6	0.8943	0.03555	24.07	28.51	25	25.64	27.51	26.6	0.8943	0.03555	24.07	28.51	25	25.64	27.51	26.6	0.8943	0.03555	24.07	28.51
"CNSOMS0"	25	24.57	23.93	26.15	3.867	0.0752	22.99	29.82	25	24.57	23.93	26.15	3.867	0.0752	22.99	29.82	25	24.57	23.93	26.15	3.867	0.0752	22.99	29.82	25	24.57	23.93	26.15	3.867	0.0752	22.99	29.82	25	24.57	23.93	26.15	3.867	0.0752	22.99	29.82	25	24.57	23.93	26.15	3.867	0.0752	22.99	29.82
"FCSOMF0"	0.5	0.4168	0.4171	0.4593	0.002301	0.1044	0.3791	0.5476	0.5	0.4168	0.4171	0.4593	0.002301	0.1044	0.3791	0.5476	0.5	0.4168	0.4171	0.4593	0.002301	0.1044	0.3791	0.5476	0.5	0.4168	0.4171	0.4593	0.002301	0.1044	0.3791	0.5476	0.5	0.4168	0.4171	0.4593	0.002301	0.1044	0.3791	0.5476	0.5	0.4168	0.4171	0.4593	0.002301	0.1044	0.3791	0.5476
"FLITTSOMF"	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6
"FSOMFSOMS"	0.03	0.03	0.03	0.03	0	0	0.03	0.03	0.03	0.03	0.03	0.03	0	0	0.03	0.03	0.03	0.03	0.03	0.03	0	0	0.03	0.03	0.03	0.03	0.03	0.03	0	0	0.03	0.03	0.03	0.03	0.03	0.03	0	0	0.03	0.03	0.03	0.03	0.03	0.03	0	0	0.03	0.03
"RNLEACH"	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0.5	0.5
"KNEMIT"	5e-04	5e-04	5e-04	5e-04	0	0	5e-04	5e-04	5e-04	5e-04	5e-04	5e-04	0	0	5e-04	5e-04	5e-04	5e-04	5e-04	5e-04	0	0	5e-04	5e-04	5e-04	5e-04	5e-04	5e-04	0	0	5e-04	5e-04	5e-04	5e-04	5e-04	5e-04	0	0	5e-04	5e-04	5e-04	5e-04	5e-04	5e-04	0	0	5e-04	5e-04
"NMIN0"	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1
"TCLITT"	365	365	365	365	0	0	365	365	365	365	365	365	0	0	365	365	365	365	365	365	0	0	365	365	365	365	365	365	0	0	365	365	365	365	365	365	0	0	365	365	365	365	365	365	0	0	365	365
"TCSOMF"	1460	1492	1731	1500	32070	0.1194	1209	1910	1460	1492	1731	1500	32070	0.1194	1209	1910	1460	1492	1731	1500	32070	0.1194	1209	1910	1460	1492	1731	1500	32070	0.1194	1209	1910	1460	1492	1731	1500	32070	0.1194	1209	1910	1460	1492	1731	1500	32070	0.1194	1209	1910
"TCSOMS"	73000	73000	73000	73000	0	0	73000	73000	73000	73000	73000	73000	0	0	73000	73000	73000	73000	73000	73000	0	0	73000	73000	73000	73000	73000	73000	0	0	73000	73000	73000	73000	73000	73000	0	0	73000	73000	73000	73000	73000	73000	0	0	73000	73000
"TMAXF"	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50	50	50	50	50	0	0	50	50
"TSIGMAF"	20	20	20	20	0	0	20	20	20	20	20	20	0	0	20	20	20	20	20	20	0	0	20	20	20	20	20	20	0	0	20	20	20	20	20	20	0	0	20	20	20	20	20	20	0	0	20	20
"RFN2O"	8.5	8.5	8.5	8.5	0	0	8.5	8.5	8.5	8.5	8.5	8.5	0	0	8.5	8.5	8.5	8.5	8.5	8.5	0	0	8.5	8.5	8.5	8.5	8.5	8.5	0	0	8.5	8.5	8.5	8.5	8.5	8.5	0	0	8.5	8.5	8.5	8.5	8.5	8.5	0	0	8.5	8.5
"WFPS50N2O"	0.7	0.7	0.7	0.7	0	0	0.7	0.7	0.7	0.7	0.7	0.7	0	0	0.7	0.7	0.7	0.7	0.7	0.7	0	0	0.7	0.7	0.7	0.7	0.7	0.7	0	0	0.7	0.7	0.7	0.7	0.7	0.7	0	0	0.7	0.7	0.7	0.7	0.7	0.7	0	0	0.7	0.7
"NCSHMAX"	0.04	0.06184	0.06138	0.06027	3.555e-05	0.09892	0.04	0.06924	0.04	0.06184	0.06138	0.06027	3.555e-05	0.09892	0.04	0.06924	0.04	0.06184	0.06138	0.06027	3.555e-05	0.09892	0.04	0.06924	0.04	0.06184	0.06138	0.06027	3.555e-05	0.09892	0.04	0.06924	0.04	0.06184	0.06138	0.06027	3.555e-05	0.09892	0.04	0.06924	0.04	0.06184	0.06138	0.06027	3.555e-05	0.09892	0.04	0.06924
"NCR"	0.03	0.01727	0.01667	0.02271	3.379e-05	0.256	0.01511	0.03531	0.03	0.01727	0.01667	0.02271	3.379e-05	0.256	0.01511	0.03531	0.03	0.01727	0.01667	0.02271	3.379e-05	0.256	0.01511	0.03531	0.03	0.01727	0.01667	0.02271	3.379e-05	0.256	0.01511	0.03531	0.03	0.01727	0.01667	0.02271	3.379e-05	0.256	0.01511	0.03531	0.03	0.01727	0.01667	0.02271	3.379e-05	0.256	0.01511	0.03531
"RDRROOT"	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0	0	0.02	0.02
"RDRSTUB"	0.2	0.2658	0.2531	0.2504	0.0006326	0.1004	0.1979	0.2888	0.2	0.2658	0.2531	0.2504	0.0006326	0.1004	0.1979	0.2888	0.2	0.2658	0.2531	0.2504	0.0006326	0.1004	0.1979	0.2888	0.2	0.2658	0.2531	0.2504	0.0006326	0.1004	0.1979	0.2888	0.2	0.2658	0.2531	0.2504	0.0006326	0.1004	0.1979	0.2888	0.2	0.2658	0.2531	0.2504	0.0006326	0.1004	0.1979	0.2888
"NFERTMULT"	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1
"FNCGSHMIN"	0.1	0.162	0.134	0.1103	0.001697	0.3736	0.01581	0.1938	0.1	0.162	0.134	0.1103	0.001697	0.3736	0.01581	0.1938	0.1	0.162	0.134	0.1103	0.001697	0.3736	0.01581	0.1938	0.1	0.162	0.134	0.1103	0.001697	0.3736	0.01581	0.1938	0.1	0.162	0.134	0.1103	0.001697	0.3736	0.01581	0.1938	0.1	0.162	0.134	0.1103	0.001697	0.3736	0.01581	0.1938
"TCNSHMOB"	8	6.81	6.366	6.798	7.478	0.4023	1.086	14.66	8	6.81	6.366	6.798	7.478	0.4023	1.086	14.66	8	6.81	6.366	6.798	7.478	0.4023	1.086	14.66	8	6.81	6.366	6.798	7.478	0.4023	1.086	14.66	8	6.81	6.366	6.798	7.478	0.4023	1.086	14.66	8	6.81	6.366	6.798	7.478	0.4023	1.086	14.66
"TCNUPT"	8	26.23	21.13	20.42	39.87	0.3092	7.81	29.97	8	26.23	21.13	20.42	39.87	0.3092	7.81	29.97	8	26.23	21.13	20.42	39.87	0.3092	7.81	29.97	8	26.23	21.13	20.42	39.87	0.3092	7.81	29.97	8	26.23	21.13	20.42	39.87	0.3092	7.81	29.97	8	26.23	21.13	20.42	39.87	0.3092	7.81	29.97
"F_DIGEST_WALL_FMIN"	0.7	0.6375	0.6507	0.6583	0.0003876	0.02991	0.6219	0.7049	0.7	0.6375	0.6507	0.6583	0.0003876	0.02991	0.6219	0.7049	0.7	0.6375	0.6507	0.6583	0.0003876	0.02991	0.6219	0.7049	0.7	0.6375	0.6507	0.6583	0.0003876	0.02991	0.6219	0.7049	0.7	0.6375	0.6507	0.6583	0.0003876	0.02991	0.6219	0.7049	0.7	0.6375	0.6507	0.6583	0.0003876	0.02991	0.6219	0.7049
"F_DIGEST_WALL_MAX"	0.9	0.8315	0.8209	0.8481	0.0006586	0.03026	0.8165	0.9028	0.9	0.8315	0.8209	0.8481	0.0006586	0.03026	0.8165	0.9028	0.9	0.8315	0.8209	0.8481	0.0006586	0.03026	0.8165	0.9028	0.9	0.8315	0.8209	0.8481	0.0006586	0.03026	0.8165	0.9028	0.9	0.8315	0.8209	0.8481	0.0006586	0.03026	0.8165	0.9028	0.9	0.8315	0.8209	0.8481	0.0006586	0.03026	0.8165	0.9028
"F_WALL_LV_FMIN"	0.7	0.7672	0.7811	0.7616	0.0005042	0.02948	0.698	0.7873	0.7	0.7672	0.7811	0.7616	0.0005042	0.02948	0.698	0.7873	0.7	0.7672	0.7811	0.7616	0.0005042	0.02948	0.698	0.7873	0.7	0.7672	0.7811	0.7616	0.0005042	0.02948	0.698	0.7873	0.7	0.7672	0.7811	0.7616	0.0005042	0.02948	0.698	0.7873	0.7	0.7672	0.7811	0.7616	0.0005042	0.02948	0.698	0.7873
"F_WALL_LV_MAX"	0.6	0.6094	0.6176	0.6046	2e-04	0.02339	0.5677	0.6405	0.6	0.6094	0.6176	0.6046	2e-04	0.02339	0.5677	0.6405	0.6	0.6094	0.6176	0.6046	2e-04	0.02339	0.5677	0.6405	0.6	0.6094	0.6176	0.6046	2e-04	0.02339	0.5677	0.6405	0.6	0.6094	0.6176	0.6046	2e-04	0.02339	0.5677	0.6405	0.6	0.6094	0.6176	0.6046	2e-04	0.02339	0.5677	0.6405
"F_WALL_ST_FMIN"	0.8	0.8238	0.7995	0.8181	0.0002499	0.01932	0.7853	0.8567	0.8	0.8238	0.7995	0.8181	0.0002499	0.01932	0.7853	0.8567	0.8	0.8238	0.7995	0.8181	0.0002499	0.01932	0.7853	0.8567	0.8	0.8238	0.7995	0.8181	0.0002499	0.01932	0.7853	0.8567	0.8	0.8238	0.7995	0.8181	0.0002499	0.01932	0.7853	0.8567	0.8	0.8238	0.7995	0.8181	0.0002499	0.01932	0.7853	0.8567
"F_WALL_ST_MAX"	0.75	0.6973	0.742	0.7311	0.0004515	0.02907	0.6932	0.767	0.75	0.6973	0.742	0.7311	0.0004515	0.02907	0.6932	0.767	0.75	0.6973	0.742	0.7311	0.0004515	0.02907	0.6932	0.767	0.75	0.6973	0.742	0.7311	0.0004515	0.02907	0.6932	0.767	0.75	0.6973	0.742	0.7311	0.0004515	0.02907	0.6932	0.767	0.75	0.6973	0.742	0.7311	0.0004515	0.02907	0.6932	0.767
